Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_log,EU_Sales_log,JP_Sales_log,Other_Sales_log,Global_Sales_log
1,Wii Sports,Wii,2006.0,Sports,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
2,Super Mario Bros.,NES,1985.0,Platform,Nintendo,,0.275,0.1,0.1,1.085,,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
3,Mario Kart Wii,Wii,2008.0,Racing,Nintendo,0.6,,0.1,0.1,1.085,0.4700036292457356,,0.09531017980432487,0.09531017980432487,0.7347688552507647
4,Wii Sports Resort,Wii,2009.0,Sports,Nintendo,0.6,0.275,,0.1,1.085,0.4700036292457356,0.24294617861038947,,0.09531017980432487,0.7347688552507647
5,Pokemon Red/Pokemon Blue,GB,1996.0,Role-Playing,Nintendo,0.6,0.275,0.1,,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,,0.7347688552507647
6,Tetris,GB,1989.0,Puzzle,Nintendo,0.6,0.275,0.1,0.1,,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,
7,New Super Mario Bros.,DS,2006.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
8,Wii Play,Wii,2006.0,Misc,Nintendo,,0.275,0.1,0.1,1.085,,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
9,New Super Mario Bros. Wii,Wii,2009.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
10,Duck Hunt,NES,1984.0,Shooter,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
11,Nintendogs,DS,2005.0,Simulation,Nintendo,0.6,,0.1,0.1,1.085,0.4700036292457356,,0.09531017980432487,0.09531017980432487,0.7347688552507647
12,Mario Kart DS,DS,2005.0,Racing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
13,Pokemon Gold/Pokemon Silver,GB,1999.0,Role-Playing,Nintendo,0.6,0.275,0.1,,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,,0.7347688552507647
14,Wii Fit,Wii,2007.0,Sports,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
15,Wii Fit Plus,Wii,2009.0,Sports,Nintendo,0.6,0.275,0.1,0.1,,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,
16,Kinect Adventures!,X360,2010.0,Misc,Microsoft Game Studios,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
17,Grand Theft Auto V,PS3,2013.0,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
18,Grand Theft Auto: San Andreas,PS2,2004.0,Action,Take-Two Interactive,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
19,Super Mario World,SNES,1990.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
20,Brain Age: Train Your Brain in Minutes a Day,DS,2005.0,Misc,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
21,Pokemon Diamond/Pokemon Pearl,DS,2006.0,Role-Playing,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
22,Super Mario Land,GB,1989.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
23,Super Mario Bros. 3,NES,1988.0,Platform,Nintendo,0.6,0.275,0.1,0.1,1.085,0.4700036292457356,0.24294617861038947,0.09531017980432487,0.09531017980432487,0.7347688552507647
